,site_id,latitude,longitude,elevation_in_meters,state,species_id,genus,species,common_name,kingdom,individual_id,phenophase_id,phenophase_description,first_yes_year,first_yes_month,first_yes_day,first_yes_doy,first_yes_julian_date,numdays_since_prior_no,last_yes_year,last_yes_month,last_yes_day,last_yes_doy,last_yes_julian_date,numdays_until_next_no
55,5514,43.894707,-69.511551,7,ME,3,Acer,rubrum,red maple,Plantae,11969,483,Leaves,2011,5,12,132,2455694,4,2011,6,29,180,2455742,78
56,5521,38.463898,-77.473625,95,VA,3,Acer,rubrum,red maple,Plantae,12023,483,Leaves,2011,4,24,114,2455676,-9999,2011,5,22,142,2455704,-9999
57,5477,44.050777,-69.432732,51,ME,3,Acer,rubrum,red maple,Plantae,12058,483,Leaves,2011,5,13,133,2455695,14,2011,6,6,157,2455719,-9999
58,5525,44.049583,-69.430984,56,ME,3,Acer,rubrum,red maple,Plantae,12059,483,Leaves,2011,5,9,129,2455691,2,2011,6,26,177,2455739,-9999
59,5525,44.049583,-69.430984,56,ME,3,Acer,rubrum,red maple,Plantae,12060,483,Leaves,2011,5,22,142,2455704,9,2011,6,26,177,2455739,-9999
60,5477,44.050777,-69.432732,51,ME,3,Acer,rubrum,red maple,Plantae,12311,483,Leaves,2011,5,13,133,2455695,14,2011,6,6,157,2455719,-9999
61,5477,44.050777,-69.432732,51,ME,3,Acer,rubrum,red maple,Plantae,12312,483,Leaves,2011,5,13,133,2455695,14,2011,6,26,177,2455739,-9999
62,5576,44.418877,-68.106331,23,ME,3,Acer,rubrum,red maple,Plantae,12318,483,Leaves,2011,5,14,134,2455696,8,2011,5,30,150,2455712,-9999
63,5582,45.195858,-70.45369,360,ME,3,Acer,rubrum,red maple,Plantae,12465,483,Leaves,2011,5,22,142,2455704,14,2011,10,12,285,2455847,18
64,5604,44.395542,-68.019897,11,ME,3,Acer,rubrum,red maple,Plantae,12495,483,Leaves,2011,5,17,137,2455699,6,2011,6,3,154,2455716,-9999
65,5605,44.395542,-68.019897,11,ME,3,Acer,rubrum,red maple,Plantae,12499,483,Leaves,2011,5,22,142,2455704,5,2011,6,3,154,2455716,-9999
66,5523,43.692337,-70.270424,32,ME,3,Acer,rubrum,red maple,Plantae,12500,483,Leaves,2011,5,6,126,2455688,-9999,2011,5,6,126,2455688,-9999
67,5523,43.692337,-70.270424,32,ME,3,Acer,rubrum,red maple,Plantae,12501,483,Leaves,2011,5,4,124,2455686,-9999,2011,5,6,126,2455688,-9999
68,5582,45.195858,-70.45369,360,ME,3,Acer,rubrum,red maple,Plantae,12553,483,Leaves,2011,5,22,142,2455704,14,2011,10,12,285,2455847,18
69,5720,43.597511,-70.34417,16,ME,3,Acer,rubrum,red maple,Plantae,12908,483,Leaves,2011,6,7,158,2455720,-9999,2011,6,7,158,2455720,-9999
70,2316,42.326572,-70.926453,6,MA,3,Acer,rubrum,red maple,Plantae,13629,483,Leaves,2011,6,19,170,2455732,-9999,2011,9,24,267,2455829,-9999
71,5840,42.46801,-71.008911,10,MA,3,Acer,rubrum,red maple,Plantae,13680,483,Leaves,2011,7,3,184,2455746,-9999,2011,8,5,217,2455779,-9999
72,5840,42.46801,-71.008911,10,MA,3,Acer,rubrum,red maple,Plantae,13681,483,Leaves,2011,6,20,171,2455733,-9999,2011,8,5,217,2455779,-9999
73,5964,44.125111,-69.305771,61,ME,3,Acer,rubrum,red maple,Plantae,14429,483,Leaves,2011,6,30,181,2455743,-9999,2011,7,7,188,2455750,-9999
74,5964,44.125111,-69.305771,61,ME,3,Acer,rubrum,red maple,Plantae,14430,483,Leaves,2011,6,30,181,2455743,-9999,2011,7,7,188,2455750,-9999
75,6244,43.305977,-70.782112,60,ME,3,Acer,rubrum,red maple,Plantae,16584,483,Leaves,2011,11,18,322,2455884,14,2011,11,18,322,2455884,-9999
76,6277,35.612259,-82.569565,621,NC,3,Acer,rubrum,red maple,Plantae,17092,483,Leaves,2011,11,3,307,2455869,-9999,2011,11,3,307,2455869,-9999
77,6277,35.612259,-82.569565,621,NC,3,Acer,rubrum,red maple,Plantae,17093,483,Leaves,2011,11,3,307,2455869,-9999,2011,11,3,307,2455869,-9999
78,6290,45.660927,-68.703949,106,ME,3,Acer,rubrum,red maple,Plantae,17148,483,Leaves,2011,9,16,259,2455821,-9999,2011,11,11,315,2455877,-9999
79,6362,43.012966,-73.649918,108,NY,3,Acer,rubrum,red maple,Plantae,17981,483,Leaves,2011,5,9,129,2455691,7,2011,10,11,284,2455846,13
80,8182,35.586998,-83.074631,1505,NC,3,Acer,rubrum,red maple,Plantae,23058,483,Leaves,2011,4,4,94,2455656,-9999,2011,5,31,151,2455713,-9999
81,8182,35.586998,-83.074631,1505,NC,3,Acer,rubrum,red maple,Plantae,23068,483,Leaves,2011,4,25,115,2455677,4,2011,5,31,151,2455713,-9999
82,8806,35.640625,-83.689034,405,TN,3,Acer,rubrum,red maple,Plantae,32898,483,Leaves,2011,3,31,90,2455652,6,2011,11,1,305,2455867,7
83,8806,35.640625,-83.689034,405,TN,3,Acer,rubrum,red maple,Plantae,32899,483,Leaves,2011,4,3,93,2455655,3,2011,11,1,305,2455867,7
84,8806,35.640625,-83.689034,405,TN,3,Acer,rubrum,red maple,Plantae,33111,483,Leaves,2011,3,31,90,2455652,6,2011,10,20,293,2455855,12
85,9340,35.642353,-83.687431,510,TN,3,Acer,rubrum,red maple,Plantae,33124,483,Leaves,2011,5,5,125,2455687,21,2011,10,22,295,2455857,9
86,9340,35.642353,-83.687431,510,TN,3,Acer,rubrum,red maple,Plantae,33131,483,Leaves,2011,4,14,104,2455666,7,2011,10,15,288,2455850,7
87,9340,35.642353,-83.687431,510,TN,3,Acer,rubrum,red maple,Plantae,33134,483,Leaves,2011,4,14,104,2455666,21,2011,10,15,288,2455850,7
88,9340,35.642353,-83.687431,510,TN,3,Acer,rubrum,red maple,Plantae,33135,483,Leaves,2011,5,5,125,2455687,21,2011,10,31,304,2455866,7
89,9342,35.644516,-83.68988,512,TN,3,Acer,rubrum,red maple,Plantae,33136,483,Leaves,2011,4,13,103,2455665,12,2011,10,27,300,2455862,4
90,9342,35.644516,-83.68988,512,TN,3,Acer,rubrum,red maple,Plantae,33138,483,Leaves,2011,4,29,119,2455681,16,2011,10,27,300,2455862,4
91,9342,35.644516,-83.68988,512,TN,3,Acer,rubrum,red maple,Plantae,33139,483,Leaves,2011,4,29,119,2455681,16,2011,10,31,304,2455866,7
92,9342,35.644516,-83.68988,512,TN,3,Acer,rubrum,red maple,Plantae,33140,483,Leaves,2011,4,29,119,2455681,16,2011,10,31,304,2455866,7
93,9342,35.644516,-83.68988,512,TN,3,Acer,rubrum,red maple,Plantae,33141,483,Leaves,2011,4,13,103,2455665,12,2011,10,15,288,2455850,12
94,9342,35.644516,-83.68988,512,TN,3,Acer,rubrum,red maple,Plantae,33142,483,Leaves,2011,4,13,103,2455665,12,2011,10,27,300,2455862,4
95,9342,35.644516,-83.68988,512,TN,3,Acer,rubrum,red maple,Plantae,33145,483,Leaves,2011,4,13,103,2455665,12,2011,10,15,288,2455850,12
96,9342,35.644516,-83.68988,512,TN,3,Acer,rubrum,red maple,Plantae,33146,483,Leaves,2011,4,13,103,2455665,12,2011,10,27,300,2455862,4
97,9342,35.644516,-83.68988,512,TN,3,Acer,rubrum,red maple,Plantae,33148,483,Leaves,2011,4,13,103,2455665,12,2011,10,31,304,2455866,7
98,9342,35.644516,-83.68988,512,TN,3,Acer,rubrum,red maple,Plantae,33151,483,Leaves,2011,4,13,103,2455665,12,2011,10,31,304,2455866,7
99,9342,35.644516,-83.68988,512,TN,3,Acer,rubrum,red maple,Plantae,33153,483,Leaves,2011,4,29,119,2455681,16,2011,10,31,304,2455866,7
100,9342,35.644516,-83.68988,512,TN,3,Acer,rubrum,red maple,Plantae,33156,483,Leaves,2011,4,13,103,2455665,12,2011,10,27,300,2455862,4
101,9342,35.644516,-83.68988,512,TN,3,Acer,rubrum,red maple,Plantae,33157,483,Leaves,2011,4,13,103,2455665,12,2011,10,15,288,2455850,12
102,9342,35.644516,-83.68988,512,TN,3,Acer,rubrum,red maple,Plantae,33158,483,Leaves,2011,4,29,119,2455681,16,2011,10,27,300,2455862,4
103,9343,35.642799,-83.695915,423,TN,3,Acer,rubrum,red maple,Plantae,33169,483,Leaves,2011,3,31,90,2455652,11,2011,10,22,295,2455857,12
104,9343,35.642799,-83.695915,423,TN,3,Acer,rubrum,red maple,Plantae,33180,483,Leaves,2011,4,10,100,2455662,10,2011,10,22,295,2455857,12
105,9343,35.642799,-83.695915,423,TN,3,Acer,rubrum,red maple,Plantae,33181,483,Leaves,2011,3,31,90,2455652,11,2011,6,15,166,2455728,112
106,9343,35.642799,-83.695915,423,TN,3,Acer,rubrum,red maple,Plantae,33185,483,Leaves,2011,4,10,100,2455662,10,2011,10,22,295,2455857,12
107,9341,35.639874,-83.687721,444,TN,3,Acer,rubrum,red maple,Plantae,33191,483,Leaves,2011,4,13,103,2455665,11,2011,11,1,305,2455867,9
108,9344,35.640373,-83.692863,435,TN,3,Acer,rubrum,red maple,Plantae,33206,483,Leaves,2011,4,7,97,2455659,14,2011,11,11,315,2455877,2
109,9338,35.642117,-83.692589,398,TN,3,Acer,rubrum,red maple,Plantae,33214,483,Leaves,2011,3,25,84,2455646,18,2011,11,7,311,2455873,7
110,9338,35.642117,-83.692589,398,TN,3,Acer,rubrum,red maple,Plantae,33225,483,Leaves,2011,3,25,84,2455646,18,2011,10,24,297,2455859,7
111,9338,35.642117,-83.692589,398,TN,3,Acer,rubrum,red maple,Plantae,33227,483,Leaves,2011,3,25,84,2455646,18,2011,10,24,297,2455859,7
112,9338,35.642117,-83.692589,398,TN,3,Acer,rubrum,red maple,Plantae,33243,483,Leaves,2011,4,11,101,2455663,17,2011,11,7,311,2455873,7
113,9339,35.637402,-83.698807,594,TN,3,Acer,rubrum,red maple,Plantae,33251,483,Leaves,2011,4,10,100,2455662,9,2011,11,10,314,2455876,7
114,9339,35.637402,-83.698807,594,TN,3,Acer,rubrum,red maple,Plantae,33260,483,Leaves,2011,4,10,100,2455662,9,2011,10,27,300,2455862,14
115,17924,35.592316,-83.053261,4048,NC,3,Acer,rubrum,red maple,Plantae,70355,483,Leaves,2011,4,23,113,2455675,-9999,2011,4,23,113,2455675,-9999
116,17936,35.94886,-85.477135,965,TN,3,Acer,rubrum,red maple,Plantae,70401,483,Leaves,2011,4,7,97,2455659,-9999,2011,4,7,97,2455659,-9999
117,17950,36.658627,-91.788452,998,MO,3,Acer,rubrum,red maple,Plantae,70456,483,Leaves,2011,4,10,100,2455662,-9999,2011,4,10,100,2455662,-9999
118,17975,38.82653,-83.823738,916,OH,3,Acer,rubrum,red maple,Plantae,70539,483,Leaves,2011,3,28,87,2455649,-9999,2011,3,28,87,2455649,-9999
119,18025,40.664722,-79.893631,1155,PA,3,Acer,rubrum,red maple,Plantae,70716,483,Leaves,2011,4,23,113,2455675,-9999,2011,4,23,113,2455675,-9999
120,18033,40.984875,-77.443741,1164,PA,3,Acer,rubrum,red maple,Plantae,70742,483,Leaves,2011,4,29,119,2455681,-9999,2011,4,29,119,2455681,-9999
121,18036,41.041199,-80.297379,932,PA,3,Acer,rubrum,red maple,Plantae,70754,483,Leaves,2011,5,1,121,2455683,-9999,2011,5,1,121,2455683,-9999
122,18068,41.911221,-72.633461,87,CT,3,Acer,rubrum,red maple,Plantae,70860,483,Leaves,2011,4,29,119,2455681,-9999,2011,4,29,119,2455681,-9999
123,18071,42.01947,-80.335876,713,PA,3,Acer,rubrum,red maple,Plantae,70869,483,Leaves,2011,4,29,119,2455681,-9999,2011,4,29,119,2455681,-9999
124,18075,42.09705,-79.269127,1408,NY,3,Acer,rubrum,red maple,Plantae,70883,483,Leaves,2011,5,12,132,2455694,-9999,2011,5,12,132,2455694,-9999
125,18079,42.130302,-80.014175,788,PA,3,Acer,rubrum,red maple,Plantae,70897,483,Leaves,2011,4,28,118,2455680,-9999,2011,4,28,118,2455680,-9999
126,18083,42.334991,-73.651398,394,NY,3,Acer,rubrum,red maple,Plantae,70909,483,Leaves,2011,5,1,121,2455683,-9999,2011,5,1,121,2455683,-9999
127,18089,42.619919,-83.164558,833,MI,3,Acer,rubrum,red maple,Plantae,70931,483,Leaves,2011,5,11,131,2455693,-9999,2011,5,11,131,2455693,-9999
0,2,43.08535,-70.69133,12,ME,3,Acer,rubrum,red maple,Plantae,9,483,Leaves,2012,4,17,108,2456035,1,2012,10,27,301,2456228,14
1,459,36.524502,-92.751999,234,MO,3,Acer,rubrum,red maple,Plantae,638,483,Leaves,2012,4,14,105,2456032,48,2012,5,1,122,2456049,155
2,950,30.178402,-81.757507,2,FL,3,Acer,rubrum,red maple,Plantae,926,483,Leaves,2012,1,21,21,2455948,-9999,2012,1,21,21,2455948,-9999
3,973,42.285683,-84.128387,307,MI,3,Acer,rubrum,red maple,Plantae,1058,483,Leaves,2012,3,31,91,2456018,7,2012,5,10,131,2456058,-9999
4,459,36.524502,-92.751999,234,MO,3,Acer,rubrum,red maple,Plantae,1274,483,Leaves,2012,4,14,105,2456032,48,2012,5,1,122,2456049,155
5,443,42.304653,-83.70118,276,MI,3,Acer,rubrum,red maple,Plantae,1977,483,Leaves,2012,4,10,101,2456028,1,2012,11,11,316,2456243,2
6,1419,42.011166,-88.503304,280,IL,3,Acer,rubrum,red maple,Plantae,2321,483,Leaves,2012,4,1,92,2456019,5,2012,10,20,294,2456221,8
7,1461,42.283501,-83.771729,275,MI,3,Acer,rubrum,red maple,Plantae,2448,483,Leaves,2012,3,28,88,2456015,2,2012,10,24,298,2456225,4
8,1476,34.750793,-82.344971,252,SC,3,Acer,rubrum,red maple,Plantae,2517,483,Leaves,2012,4,14,105,2456032,2,2012,11,5,310,2456237,-9999
9,44,40.633945,-75.662949,620,PA,3,Acer,rubrum,red maple,Plantae,2594,483,Leaves,2012,4,16,107,2456034,6,2012,5,3,124,2456051,-9999
10,1597,48.054951,-92.765915,412,MN,3,Acer,rubrum,red maple,Plantae,2979,483,Leaves,2012,5,13,134,2456061,7,2012,7,18,200,2456127,-9999
11,1597,48.054951,-92.765915,412,MN,3,Acer,rubrum,red maple,Plantae,3017,483,Leaves,2012,5,13,134,2456061,7,2012,7,18,200,2456127,-9999
12,5509,45.407852,-93.199257,275,MN,3,Acer,rubrum,red maple,Plantae,3187,483,Leaves,2012,4,24,115,2456042,4,2012,10,3,277,2456204,5
13,5509,45.407852,-93.199257,275,MN,3,Acer,rubrum,red maple,Plantae,3188,483,Leaves,2012,4,24,115,2456042,4,2012,10,3,277,2456204,5
14,1668,40.866283,-73.875717,21,NY,3,Acer,rubrum,red maple,Plantae,3227,483,Leaves,2012,4,10,101,2456028,-9999,2012,4,10,101,2456028,-9999
15,1668,40.866283,-73.875717,21,NY,3,Acer,rubrum,red maple,Plantae,3228,483,Leaves,2012,4,10,101,2456028,-9999,2012,4,10,101,2456028,-9999
16,1668,40.866283,-73.875717,21,NY,3,Acer,rubrum,red maple,Plantae,3234,483,Leaves,2012,4,17,108,2456035,28,2012,4,17,108,2456035,-9999
17,2394,45.425339,-93.186249,280,MN,3,Acer,rubrum,red maple,Plantae,3813,483,Leaves,2012,4,11,102,2456029,6,2012,9,20,264,2456191,9
18,1915,41.78344,-73.732552,128,NY,3,Acer,rubrum,red maple,Plantae,3991,483,Leaves,2012,4,17,108,2456035,5,2012,10,16,290,2456217,6
19,2119,40.862221,-73.875191,26,NY,3,Acer,rubrum,red maple,Plantae,4341,483,Leaves,2012,4,17,108,2456035,28,2012,4,17,108,2456035,-9999
20,2119,40.862221,-73.875191,26,NY,3,Acer,rubrum,red maple,Plantae,4342,483,Leaves,2012,4,10,101,2456028,21,2012,4,10,101,2456028,-9999
21,2119,40.862221,-73.875191,26,NY,3,Acer,rubrum,red maple,Plantae,4346,483,Leaves,2012,4,17,108,2456035,28,2012,4,17,108,2456035,-9999
22,2119,40.862221,-73.875191,26,NY,3,Acer,rubrum,red maple,Plantae,4349,483,Leaves,2012,3,20,80,2456007,7,2012,3,20,80,2456007,-9999
23,2380,47.08865,-69.013451,216,ME,3,Acer,rubrum,red maple,Plantae,5000,483,Leaves,2012,5,18,139,2456066,12,2012,5,18,139,2456066,-9999
24,2390,42.382767,-85.343567,280,MI,3,Acer,rubrum,red maple,Plantae,5016,483,Leaves,2012,4,3,94,2456021,4,2012,10,10,284,2456211,22
25,2410,47.515331,-93.470726,424,MN,3,Acer,rubrum,red maple,Plantae,5051,483,Leaves,2012,4,24,115,2456042,7,2012,9,25,269,2456196,7
26,2395,45.402004,-93.204147,277,MN,3,Acer,rubrum,red maple,Plantae,5115,483,Leaves,2012,4,5,96,2456023,9,2012,10,3,277,2456204,5
27,2410,47.515331,-93.470726,424,MN,3,Acer,rubrum,red maple,Plantae,5182,483,Leaves,2012,5,8,129,2456056,7,2012,9,25,269,2456196,7
28,2410,47.515331,-93.470726,424,MN,3,Acer,rubrum,red maple,Plantae,5183,483,Leaves,2012,4,24,115,2456042,7,2012,9,25,269,2456196,7
29,2317,42.267677,-70.921326,2,MA,3,Acer,rubrum,red maple,Plantae,6589,483,Leaves,2012,6,16,168,2456095,61,2012,7,14,196,2456123,-9999
30,4846,41.437077,-81.864555,228,OH,3,Acer,rubrum,red maple,Plantae,8338,483,Leaves,2012,5,5,126,2456053,42,2012,8,4,217,2456144,-9999
31,4881,28.045185,-82.706299,3,FL,3,Acer,rubrum,red maple,Plantae,8499,483,Leaves,2012,1,1,1,2455928,-9999,2012,1,5,5,2455932,12
32,4881,28.045185,-82.706299,3,FL,3,Acer,rubrum,red maple,Plantae,8499,483,Leaves,2012,2,5,36,2455963,8,2012,4,8,99,2456026,-9999
33,4881,28.045185,-82.706299,3,FL,3,Acer,rubrum,red maple,Plantae,8500,483,Leaves,2012,1,1,1,2455928,-9999,2012,1,5,5,2455932,12
34,4881,28.045185,-82.706299,3,FL,3,Acer,rubrum,red maple,Plantae,8500,483,Leaves,2012,2,5,36,2455963,8,2012,4,8,99,2456026,-9999
35,5206,36.902622,-76.206039,3,VA,3,Acer,rubrum,red maple,Plantae,10207,483,Leaves,2012,3,20,80,2456007,6,2012,12,13,348,2456275,8
36,5207,36.904579,-76.19651,2,VA,3,Acer,rubrum,red maple,Plantae,10218,483,Leaves,2012,4,3,94,2456021,6,2012,10,8,282,2456209,10
